triplet_id,sample_id,difficulty,architecture,ref_64_path,ref_128_path,pos_64_path,pos_128_path,neg_64_path,neg_128_path,pos_ncc,neg_ncc,pos_error,neg_error,gt_x,gt_y
674,153,Medium,dram_dense,data/hcr_train\triplets\00674_ref_64.npy,data/hcr_train\triplets\00674_ref_128.npy,data/hcr_train\triplets\00674_pos_64.npy,data/hcr_train\triplets\00674_pos_128.npy,data/hcr_train\triplets\00674_neg_64.npy,data/hcr_train\triplets\00674_neg_128.npy,0.8877,0.7788,0.36,63.8,592.3,116.2
675,154,Hard,finfet_10nm,data/hcr_train\triplets\00675_ref_64.npy,data/hcr_train\triplets\00675_ref_128.npy,data/hcr_train\triplets\00675_pos_64.npy,data/hcr_train\triplets\00675_pos_128.npy,data/hcr_train\triplets\00675_neg_64.npy,data/hcr_train\triplets\00675_neg_128.npy,0.4595,0.4975,0.54,630.08,790.5,136.2
676,154,Hard,finfet_10nm,data/hcr_train\triplets\00676_ref_64.npy,data/hcr_train\triplets\00676_ref_128.npy,data/hcr_train\triplets\00676_pos_64.npy,data/hcr_train\triplets\00676_pos_128.npy,data/hcr_train\triplets\00676_neg_64.npy,data/hcr_train\triplets\00676_neg_128.npy,0.4595,0.4933,0.54,624.7,790.5,136.2
677,154,Hard,finfet_10nm,data/hcr_train\triplets\00677_ref_64.npy,data/hcr_train\triplets\00677_ref_128.npy,data/hcr_train\triplets\00677_pos_64.npy,data/hcr_train\triplets\00677_pos_128.npy,data/hcr_train\triplets\00677_neg_64.npy,data/hcr_train\triplets\00677_neg_128.npy,0.4595,0.4837,0.54,654.69,790.5,136.2
678,154,Hard,finfet_10nm,data/hcr_train\triplets\00678_ref_64.npy,data/hcr_train\triplets\00678_ref_128.npy,data/hcr_train\triplets\00678_pos_64.npy,data/hcr_train\triplets\00678_pos_128.npy,data/hcr_train\triplets\00678_neg_64.npy,data/hcr_train\triplets\00678_neg_128.npy,0.4595,0.4824,0.54,76.2,790.5,136.2
679,154,Hard,finfet_10nm,data/hcr_train\triplets\00679_ref_64.npy,data/hcr_train\triplets\00679_ref_128.npy,data/hcr_train\triplets\00679_pos_64.npy,data/hcr_train\triplets\00679_pos_128.npy,data/hcr_train\triplets\00679_neg_64.npy,data/hcr_train\triplets\00679_neg_128.npy,0.4595,0.4773,0.54,647.94,790.5,136.2
680,156,Easy,dram_1x,data/hcr_train\triplets\00680_ref_64.npy,data/hcr_train\triplets\00680_ref_128.npy,data/hcr_train\triplets\00680_pos_64.npy,data/hcr_train\triplets\00680_pos_128.npy,data/hcr_train\triplets\00680_neg_64.npy,data/hcr_train\triplets\00680_neg_128.npy,0.9627,0.9457,0.54,35.5,729.5,943.8
681,156,Easy,dram_1x,data/hcr_train\triplets\00681_ref_64.npy,data/hcr_train\triplets\00681_ref_128.npy,data/hcr_train\triplets\00681_pos_64.npy,data/hcr_train\triplets\00681_pos_128.npy,data/hcr_train\triplets\00681_neg_64.npy,data/hcr_train\triplets\00681_neg_128.npy,0.9627,0.9385,0.54,36.5,729.5,943.8
682,156,Easy,dram_1x,data/hcr_train\triplets\00682_ref_64.npy,data/hcr_train\triplets\00682_ref_128.npy,data/hcr_train\triplets\00682_pos_64.npy,data/hcr_train\triplets\00682_pos_128.npy,data/hcr_train\triplets\00682_neg_64.npy,data/hcr_train\triplets\00682_neg_128.npy,0.9627,0.9308,0.54,72.5,729.5,943.8
683,156,Easy,dram_1x,data/hcr_train\triplets\00683_ref_64.npy,data/hcr_train\triplets\00683_ref_128.npy,data/hcr_train\triplets\00683_pos_64.npy,data/hcr_train\triplets\00683_pos_128.npy,data/hcr_train\triplets\00683_neg_64.npy,data/hcr_train\triplets\00683_neg_128.npy,0.9627,0.8992,0.54,71.5,729.5,943.8
684,156,Easy,dram_1x,data/hcr_train\triplets\00684_ref_64.npy,data/hcr_train\triplets\00684_ref_128.npy,data/hcr_train\triplets\00684_pos_64.npy,data/hcr_train\triplets\00684_pos_128.npy,data/hcr_train\triplets\00684_neg_64.npy,data/hcr_train\triplets\00684_neg_128.npy,0.9627,0.8728,0.54,866.3,729.5,943.8
685,157,Medium,dram_dense,data/hcr_train\triplets\00685_ref_64.npy,data/hcr_train\triplets\00685_ref_128.npy,data/hcr_train\triplets\00685_pos_64.npy,data/hcr_train\triplets\00685_pos_128.npy,data/hcr_train\triplets\00685_neg_64.npy,data/hcr_train\triplets\00685_neg_128.npy,0.9173,0.8458,0.1,32.0,890.9,93.0
686,157,Medium,dram_dense,data/hcr_train\triplets\00686_ref_64.npy,data/hcr_train\triplets\00686_ref_128.npy,data/hcr_train\triplets\00686_pos_64.npy,data/hcr_train\triplets\00686_pos_128.npy,data/hcr_train\triplets\00686_neg_64.npy,data/hcr_train\triplets\00686_neg_128.npy,0.9173,0.8118,0.1,32.0,890.9,93.0
687,157,Medium,dram_dense,data/hcr_train\triplets\00687_ref_64.npy,data/hcr_train\triplets\00687_ref_128.npy,data/hcr_train\triplets\00687_pos_64.npy,data/hcr_train\triplets\00687_pos_128.npy,data/hcr_train\triplets\00687_neg_64.npy,data/hcr_train\triplets\00687_neg_128.npy,0.9173,0.8113,0.1,64.0,890.9,93.0
688,157,Medium,dram_dense,data/hcr_train\triplets\00688_ref_64.npy,data/hcr_train\triplets\00688_ref_128.npy,data/hcr_train\triplets\00688_pos_64.npy,data/hcr_train\triplets\00688_pos_128.npy,data/hcr_train\triplets\00688_neg_64.npy,data/hcr_train\triplets\00688_neg_128.npy,0.9173,0.8039,0.1,80.0,890.9,93.0
689,157,Medium,dram_dense,data/hcr_train\triplets\00689_ref_64.npy,data/hcr_train\triplets\00689_ref_128.npy,data/hcr_train\triplets\00689_pos_64.npy,data/hcr_train\triplets\00689_pos_128.npy,data/hcr_train\triplets\00689_neg_64.npy,data/hcr_train\triplets\00689_neg_128.npy,0.9173,0.8016,0.1,48.0,890.9,93.0
690,158,Hard,finfet_10nm,data/hcr_train\triplets\00690_ref_64.npy,data/hcr_train\triplets\00690_ref_128.npy,data/hcr_train\triplets\00690_pos_64.npy,data/hcr_train\triplets\00690_pos_128.npy,data/hcr_train\triplets\00690_neg_64.npy,data/hcr_train\triplets\00690_neg_128.npy,0.7135,0.7043,2.0,22.0,103.0,836.1
691,158,Hard,finfet_10nm,data/hcr_train\triplets\00691_ref_64.npy,data/hcr_train\triplets\00691_ref_128.npy,data/hcr_train\triplets\00691_pos_64.npy,data/hcr_train\triplets\00691_pos_128.npy,data/hcr_train\triplets\00691_neg_64.npy,data/hcr_train\triplets\00691_neg_128.npy,0.7135,0.7007,2.0,26.0,103.0,836.1
692,158,Hard,finfet_10nm,data/hcr_train\triplets\00692_ref_64.npy,data/hcr_train\triplets\00692_ref_128.npy,data/hcr_train\triplets\00692_pos_64.npy,data/hcr_train\triplets\00692_pos_128.npy,data/hcr_train\triplets\00692_neg_64.npy,data/hcr_train\triplets\00692_neg_128.npy,0.7135,0.6919,2.0,46.0,103.0,836.1
693,158,Hard,finfet_10nm,data/hcr_train\triplets\00693_ref_64.npy,data/hcr_train\triplets\00693_ref_128.npy,data/hcr_train\triplets\00693_pos_64.npy,data/hcr_train\triplets\00693_pos_128.npy,data/hcr_train\triplets\00693_neg_64.npy,data/hcr_train\triplets\00693_neg_128.npy,0.7135,0.6894,2.0,50.0,103.0,836.1
694,158,Hard,finfet_10nm,data/hcr_train\triplets\00694_ref_64.npy,data/hcr_train\triplets\00694_ref_128.npy,data/hcr_train\triplets\00694_pos_64.npy,data/hcr_train\triplets\00694_pos_128.npy,data/hcr_train\triplets\00694_neg_64.npy,data/hcr_train\triplets\00694_neg_128.npy,0.7135,0.6861,2.0,94.0,103.0,836.1
695,159,Adversarial,finfet_7nm,data/hcr_train\triplets\00695_ref_64.npy,data/hcr_train\triplets\00695_ref_128.npy,data/hcr_train\triplets\00695_pos_64.npy,data/hcr_train\triplets\00695_pos_128.npy,data/hcr_train\triplets\00695_neg_64.npy,data/hcr_train\triplets\00695_neg_128.npy,0.4519,0.395,0.72,29.61,543.6,150.6
696,159,Adversarial,finfet_7nm,data/hcr_train\triplets\00696_ref_64.npy,data/hcr_train\triplets\00696_ref_128.npy,data/hcr_train\triplets\00696_pos_64.npy,data/hcr_train\triplets\00696_pos_128.npy,data/hcr_train\triplets\00696_neg_64.npy,data/hcr_train\triplets\00696_neg_128.npy,0.4519,0.3766,0.72,30.44,543.6,150.6
697,159,Adversarial,finfet_7nm,data/hcr_train\triplets\00697_ref_64.npy,data/hcr_train\triplets\00697_ref_128.npy,data/hcr_train\triplets\00697_pos_64.npy,data/hcr_train\triplets\00697_pos_128.npy,data/hcr_train\triplets\00697_neg_64.npy,data/hcr_train\triplets\00697_neg_128.npy,0.4519,0.364,0.72,16.94,543.6,150.6
698,159,Adversarial,finfet_7nm,data/hcr_train\triplets\00698_ref_64.npy,data/hcr_train\triplets\00698_ref_128.npy,data/hcr_train\triplets\00698_pos_64.npy,data/hcr_train\triplets\00698_pos_128.npy,data/hcr_train\triplets\00698_neg_64.npy,data/hcr_train\triplets\00698_neg_128.npy,0.4519,0.3533,0.72,18.15,543.6,150.6
699,159,Adversarial,finfet_7nm,data/hcr_train\triplets\00699_ref_64.npy,data/hcr_train\triplets\00699_ref_128.npy,data/hcr_train\triplets\00699_pos_64.npy,data/hcr_train\triplets\00699_pos_128.npy,data/hcr_train\triplets\00699_neg_64.npy,data/hcr_train\triplets\00699_neg_128.npy,0.4519,0.3449,0.72,46.21,543.6,150.6
700,161,Medium,dram_dense,data/hcr_train\triplets\00700_ref_64.npy,data/hcr_train\triplets\00700_ref_128.npy,data/hcr_train\triplets\00700_pos_64.npy,data/hcr_train\triplets\00700_pos_128.npy,data/hcr_train\triplets\00700_neg_64.npy,data/hcr_train\triplets\00700_neg_128.npy,0.8003,0.8222,1.24,13.8,345.2,540.3
701,161,Medium,dram_dense,data/hcr_train\triplets\00701_ref_64.npy,data/hcr_train\triplets\00701_ref_128.npy,data/hcr_train\triplets\00701_pos_64.npy,data/hcr_train\triplets\00701_pos_128.npy,data/hcr_train\triplets\00701_neg_64.npy,data/hcr_train\triplets\00701_neg_128.npy,0.8003,0.8205,1.24,27.8,345.2,540.3
702,161,Medium,dram_dense,data/hcr_train\triplets\00702_ref_64.npy,data/hcr_train\triplets\00702_ref_128.npy,data/hcr_train\triplets\00702_pos_64.npy,data/hcr_train\triplets\00702_pos_128.npy,data/hcr_train\triplets\00702_neg_64.npy,data/hcr_train\triplets\00702_neg_128.npy,0.8003,0.8131,1.24,56.8,345.2,540.3
703,161,Medium,dram_dense,data/hcr_train\triplets\00703_ref_64.npy,data/hcr_train\triplets\00703_ref_128.npy,data/hcr_train\triplets\00703_pos_64.npy,data/hcr_train\triplets\00703_pos_128.npy,data/hcr_train\triplets\00703_neg_64.npy,data/hcr_train\triplets\00703_neg_128.npy,0.8003,0.8105,1.24,99.8,345.2,540.3
704,161,Medium,dram_dense,data/hcr_train\triplets\00704_ref_64.npy,data/hcr_train\triplets\00704_ref_128.npy,data/hcr_train\triplets\00704_pos_64.npy,data/hcr_train\triplets\00704_pos_128.npy,data/hcr_train\triplets\00704_neg_64.npy,data/hcr_train\triplets\00704_neg_128.npy,0.8003,0.808,1.24,70.8,345.2,540.3
705,162,Hard,finfet_10nm,data/hcr_train\triplets\00705_ref_64.npy,data/hcr_train\triplets\00705_ref_128.npy,data/hcr_train\triplets\00705_pos_64.npy,data/hcr_train\triplets\00705_pos_128.npy,data/hcr_train\triplets\00705_neg_64.npy,data/hcr_train\triplets\00705_neg_128.npy,0.7594,0.7664,2.04,51.64,667.0,757.6
706,162,Hard,finfet_10nm,data/hcr_train\triplets\00706_ref_64.npy,data/hcr_train\triplets\00706_ref_128.npy,data/hcr_train\triplets\00706_pos_64.npy,data/hcr_train\triplets\00706_pos_128.npy,data/hcr_train\triplets\00706_neg_64.npy,data/hcr_train\triplets\00706_neg_128.npy,0.7594,0.7593,2.04,59.69,667.0,757.6
707,162,Hard,finfet_10nm,data/hcr_train\triplets\00707_ref_64.npy,data/hcr_train\triplets\00707_ref_128.npy,data/hcr_train\triplets\00707_pos_64.npy,data/hcr_train\triplets\00707_pos_128.npy,data/hcr_train\triplets\00707_neg_64.npy,data/hcr_train\triplets\00707_neg_128.npy,0.7594,0.7545,2.04,57.78,667.0,757.6
708,162,Hard,finfet_10nm,data/hcr_train\triplets\00708_ref_64.npy,data/hcr_train\triplets\00708_ref_128.npy,data/hcr_train\triplets\00708_pos_64.npy,data/hcr_train\triplets\00708_pos_128.npy,data/hcr_train\triplets\00708_neg_64.npy,data/hcr_train\triplets\00708_neg_128.npy,0.7594,0.7512,2.04,30.0,667.0,757.6
709,162,Hard,finfet_10nm,data/hcr_train\triplets\00709_ref_64.npy,data/hcr_train\triplets\00709_ref_128.npy,data/hcr_train\triplets\00709_pos_64.npy,data/hcr_train\triplets\00709_pos_128.npy,data/hcr_train\triplets\00709_neg_64.npy,data/hcr_train\triplets\00709_neg_128.npy,0.7594,0.7509,2.04,26.0,667.0,757.6
710,164,Easy,dram_1x,data/hcr_train\triplets\00710_ref_64.npy,data/hcr_train\triplets\00710_ref_128.npy,data/hcr_train\triplets\00710_pos_64.npy,data/hcr_train\triplets\00710_pos_128.npy,data/hcr_train\triplets\00710_neg_64.npy,data/hcr_train\triplets\00710_neg_128.npy,0.9347,0.815,0.41,14.4,877.1,234.4
711,164,Easy,dram_1x,data/hcr_train\triplets\00711_ref_64.npy,data/hcr_train\triplets\00711_ref_128.npy,data/hcr_train\triplets\00711_pos_64.npy,data/hcr_train\triplets\00711_pos_128.npy,data/hcr_train\triplets\00711_neg_64.npy,data/hcr_train\triplets\00711_neg_128.npy,0.9347,0.7713,0.41,159.4,877.1,234.4
712,164,Easy,dram_1x,data/hcr_train\triplets\00712_ref_64.npy,data/hcr_train\triplets\00712_ref_128.npy,data/hcr_train\triplets\00712_pos_64.npy,data/hcr_train\triplets\00712_pos_128.npy,data/hcr_train\triplets\00712_neg_64.npy,data/hcr_train\triplets\00712_neg_128.npy,0.9347,0.7408,0.41,14.6,877.1,234.4
713,164,Easy,dram_1x,data/hcr_train\triplets\00713_ref_64.npy,data/hcr_train\triplets\00713_ref_128.npy,data/hcr_train\triplets\00713_pos_64.npy,data/hcr_train\triplets\00713_pos_128.npy,data/hcr_train\triplets\00713_neg_64.npy,data/hcr_train\triplets\00713_neg_128.npy,0.9347,0.7394,0.41,144.4,877.1,234.4
714,164,Easy,dram_1x,data/hcr_train\triplets\00714_ref_64.npy,data/hcr_train\triplets\00714_ref_128.npy,data/hcr_train\triplets\00714_pos_64.npy,data/hcr_train\triplets\00714_pos_128.npy,data/hcr_train\triplets\00714_neg_64.npy,data/hcr_train\triplets\00714_neg_128.npy,0.9347,0.7371,0.41,65.4,877.1,234.4
715,165,Medium,dram_dense,data/hcr_train\triplets\00715_ref_64.npy,data/hcr_train\triplets\00715_ref_128.npy,data/hcr_train\triplets\00715_pos_64.npy,data/hcr_train\triplets\00715_pos_128.npy,data/hcr_train\triplets\00715_neg_64.npy,data/hcr_train\triplets\00715_neg_128.npy,0.8372,0.8385,0.41,57.6,849.1,116.6
716,165,Medium,dram_dense,data/hcr_train\triplets\00716_ref_64.npy,data/hcr_train\triplets\00716_ref_128.npy,data/hcr_train\triplets\00716_pos_64.npy,data/hcr_train\triplets\00716_pos_128.npy,data/hcr_train\triplets\00716_neg_64.npy,data/hcr_train\triplets\00716_neg_128.npy,0.8372,0.8197,0.41,28.6,849.1,116.6
717,165,Medium,dram_dense,data/hcr_train\triplets\00717_ref_64.npy,data/hcr_train\triplets\00717_ref_128.npy,data/hcr_train\triplets\00717_pos_64.npy,data/hcr_train\triplets\00717_pos_128.npy,data/hcr_train\triplets\00717_neg_64.npy,data/hcr_train\triplets\00717_neg_128.npy,0.8372,0.812,0.41,14.4,849.1,116.6
718,165,Medium,dram_dense,data/hcr_train\triplets\00718_ref_64.npy,data/hcr_train\triplets\00718_ref_128.npy,data/hcr_train\triplets\00718_pos_64.npy,data/hcr_train\triplets\00718_pos_128.npy,data/hcr_train\triplets\00718_neg_64.npy,data/hcr_train\triplets\00718_neg_128.npy,0.8372,0.8066,0.41,14.6,849.1,116.6
719,165,Medium,dram_dense,data/hcr_train\triplets\00719_ref_64.npy,data/hcr_train\triplets\00719_ref_128.npy,data/hcr_train\triplets\00719_pos_64.npy,data/hcr_train\triplets\00719_pos_128.npy,data/hcr_train\triplets\00719_neg_64.npy,data/hcr_train\triplets\00719_neg_128.npy,0.8372,0.8057,0.41,86.4,849.1,116.6
720,166,Hard,finfet_10nm,data/hcr_train\triplets\00720_ref_64.npy,data/hcr_train\triplets\00720_ref_128.npy,data/hcr_train\triplets\00720_pos_64.npy,data/hcr_train\triplets\00720_pos_128.npy,data/hcr_train\triplets\00720_neg_64.npy,data/hcr_train\triplets\00720_neg_128.npy,0.6225,0.6128,0.45,96.4,738.4,268.2
721,166,Hard,finfet_10nm,data/hcr_train\triplets\00721_ref_64.npy,data/hcr_train\triplets\00721_ref_128.npy,data/hcr_train\triplets\00721_pos_64.npy,data/hcr_train\triplets\00721_pos_128.npy,data/hcr_train\triplets\00721_neg_64.npy,data/hcr_train\triplets\00721_neg_128.npy,0.6225,0.6122,0.45,23.6,738.4,268.2
722,166,Hard,finfet_10nm,data/hcr_train\triplets\00722_ref_64.npy,data/hcr_train\triplets\00722_ref_128.npy,data/hcr_train\triplets\00722_pos_64.npy,data/hcr_train\triplets\00722_pos_128.npy,data/hcr_train\triplets\00722_neg_64.npy,data/hcr_train\triplets\00722_neg_128.npy,0.6225,0.6109,0.45,72.4,738.4,268.2
723,166,Hard,finfet_10nm,data/hcr_train\triplets\00723_ref_64.npy,data/hcr_train\triplets\00723_ref_128.npy,data/hcr_train\triplets\00723_pos_64.npy,data/hcr_train\triplets\00723_pos_128.npy,data/hcr_train\triplets\00723_neg_64.npy,data/hcr_train\triplets\00723_neg_128.npy,0.6225,0.6109,0.45,24.4,738.4,268.2
724,166,Hard,finfet_10nm,data/hcr_train\triplets\00724_ref_64.npy,data/hcr_train\triplets\00724_ref_128.npy,data/hcr_train\triplets\00724_pos_64.npy,data/hcr_train\triplets\00724_pos_128.npy,data/hcr_train\triplets\00724_neg_64.npy,data/hcr_train\triplets\00724_neg_128.npy,0.6225,0.6084,0.45,47.6,738.4,268.2
725,167,Adversarial,finfet_7nm,data/hcr_train\triplets\00725_ref_64.npy,data/hcr_train\triplets\00725_ref_128.npy,data/hcr_train\triplets\00725_pos_64.npy,data/hcr_train\triplets\00725_pos_128.npy,data/hcr_train\triplets\00725_neg_64.npy,data/hcr_train\triplets\00725_neg_128.npy,0.3569,0.3955,1.36,59.64,243.3,380.4
726,167,Adversarial,finfet_7nm,data/hcr_train\triplets\00726_ref_64.npy,data/hcr_train\triplets\00726_ref_128.npy,data/hcr_train\triplets\00726_pos_64.npy,data/hcr_train\triplets\00726_pos_128.npy,data/hcr_train\triplets\00726_neg_64.npy,data/hcr_train\triplets\00726_neg_128.npy,0.3569,0.3815,1.36,594.48,243.3,380.4
727,167,Adversarial,finfet_7nm,data/hcr_train\triplets\00727_ref_64.npy,data/hcr_train\triplets\00727_ref_128.npy,data/hcr_train\triplets\00727_pos_64.npy,data/hcr_train\triplets\00727_pos_128.npy,data/hcr_train\triplets\00727_neg_64.npy,data/hcr_train\triplets\00727_neg_128.npy,0.3569,0.3752,1.36,585.06,243.3,380.4
728,167,Adversarial,finfet_7nm,data/hcr_train\triplets\00728_ref_64.npy,data/hcr_train\triplets\00728_ref_128.npy,data/hcr_train\triplets\00728_pos_64.npy,data/hcr_train\triplets\00728_pos_128.npy,data/hcr_train\triplets\00728_neg_64.npy,data/hcr_train\triplets\00728_neg_128.npy,0.3569,0.3748,1.36,583.3,243.3,380.4
729,167,Adversarial,finfet_7nm,data/hcr_train\triplets\00729_ref_64.npy,data/hcr_train\triplets\00729_ref_128.npy,data/hcr_train\triplets\00729_pos_64.npy,data/hcr_train\triplets\00729_pos_128.npy,data/hcr_train\triplets\00729_neg_64.npy,data/hcr_train\triplets\00729_neg_128.npy,0.3569,0.3737,1.36,626.56,243.3,380.4
730,168,Easy,dram_1x,data/hcr_train\triplets\00730_ref_64.npy,data/hcr_train\triplets\00730_ref_128.npy,data/hcr_train\triplets\00730_pos_64.npy,data/hcr_train\triplets\00730_pos_128.npy,data/hcr_train\triplets\00730_neg_64.npy,data/hcr_train\triplets\00730_neg_128.npy,0.9459,0.9394,0.2,86.8,707.2,51.0
731,168,Easy,dram_1x,data/hcr_train\triplets\00731_ref_64.npy,data/hcr_train\triplets\00731_ref_128.npy,data/hcr_train\triplets\00731_pos_64.npy,data/hcr_train\triplets\00731_pos_128.npy,data/hcr_train\triplets\00731_neg_64.npy,data/hcr_train\triplets\00731_neg_128.npy,0.9459,0.9352,0.2,21.8,707.2,51.0
732,168,Easy,dram_1x,data/hcr_train\triplets\00732_ref_64.npy,data/hcr_train\triplets\00732_ref_128.npy,data/hcr_train\triplets\00732_pos_64.npy,data/hcr_train\triplets\00732_pos_128.npy,data/hcr_train\triplets\00732_neg_64.npy,data/hcr_train\triplets\00732_neg_128.npy,0.9459,0.9331,0.2,64.8,707.2,51.0
733,168,Easy,dram_1x,data/hcr_train\triplets\00733_ref_64.npy,data/hcr_train\triplets\00733_ref_128.npy,data/hcr_train\triplets\00733_pos_64.npy,data/hcr_train\triplets\00733_pos_128.npy,data/hcr_train\triplets\00733_neg_64.npy,data/hcr_train\triplets\00733_neg_128.npy,0.9459,0.9318,0.2,65.2,707.2,51.0
734,168,Easy,dram_1x,data/hcr_train\triplets\00734_ref_64.npy,data/hcr_train\triplets\00734_ref_128.npy,data/hcr_train\triplets\00734_pos_64.npy,data/hcr_train\triplets\00734_pos_128.npy,data/hcr_train\triplets\00734_neg_64.npy,data/hcr_train\triplets\00734_neg_128.npy,0.9459,0.9245,0.2,43.2,707.2,51.0
735,172,Easy,dram_1x,data/hcr_train\triplets\00735_ref_64.npy,data/hcr_train\triplets\00735_ref_128.npy,data/hcr_train\triplets\00735_pos_64.npy,data/hcr_train\triplets\00735_pos_128.npy,data/hcr_train\triplets\00735_neg_64.npy,data/hcr_train\triplets\00735_neg_128.npy,0.9372,0.9373,0.2,22.0,377.0,601.8
736,172,Easy,dram_1x,data/hcr_train\triplets\00736_ref_64.npy,data/hcr_train\triplets\00736_ref_128.npy,data/hcr_train\triplets\00736_pos_64.npy,data/hcr_train\triplets\00736_pos_128.npy,data/hcr_train\triplets\00736_neg_64.npy,data/hcr_train\triplets\00736_neg_128.npy,0.9372,0.9154,0.2,22.0,377.0,601.8
737,172,Easy,dram_1x,data/hcr_train\triplets\00737_ref_64.npy,data/hcr_train\triplets\00737_ref_128.npy,data/hcr_train\triplets\00737_pos_64.npy,data/hcr_train\triplets\00737_pos_128.npy,data/hcr_train\triplets\00737_neg_64.npy,data/hcr_train\triplets\00737_neg_128.npy,0.9372,0.9101,0.2,44.0,377.0,601.8
738,172,Easy,dram_1x,data/hcr_train\triplets\00738_ref_64.npy,data/hcr_train\triplets\00738_ref_128.npy,data/hcr_train\triplets\00738_pos_64.npy,data/hcr_train\triplets\00738_pos_128.npy,data/hcr_train\triplets\00738_neg_64.npy,data/hcr_train\triplets\00738_neg_128.npy,0.9372,0.9048,0.2,65.0,377.0,601.8
739,172,Easy,dram_1x,data/hcr_train\triplets\00739_ref_64.npy,data/hcr_train\triplets\00739_ref_128.npy,data/hcr_train\triplets\00739_pos_64.npy,data/hcr_train\triplets\00739_pos_128.npy,data/hcr_train\triplets\00739_neg_64.npy,data/hcr_train\triplets\00739_neg_128.npy,0.9372,0.8888,0.2,87.0,377.0,601.8
740,173,Medium,dram_dense,data/hcr_train\triplets\00740_ref_64.npy,data/hcr_train\triplets\00740_ref_128.npy,data/hcr_train\triplets\00740_pos_64.npy,data/hcr_train\triplets\00740_pos_128.npy,data/hcr_train\triplets\00740_neg_64.npy,data/hcr_train\triplets\00740_neg_128.npy,0.8233,0.8173,1.12,59.0,116.0,849.5
741,173,Medium,dram_dense,data/hcr_train\triplets\00741_ref_64.npy,data/hcr_train\triplets\00741_ref_128.npy,data/hcr_train\triplets\00741_pos_64.npy,data/hcr_train\triplets\00741_pos_128.npy,data/hcr_train\triplets\00741_neg_64.npy,data/hcr_train\triplets\00741_neg_128.npy,0.8233,0.8098,1.12,57.0,116.0,849.5
742,173,Medium,dram_dense,data/hcr_train\triplets\00742_ref_64.npy,data/hcr_train\triplets\00742_ref_128.npy,data/hcr_train\triplets\00742_pos_64.npy,data/hcr_train\triplets\00742_pos_128.npy,data/hcr_train\triplets\00742_neg_64.npy,data/hcr_train\triplets\00742_neg_128.npy,0.8233,0.7756,1.12,30.0,116.0,849.5
743,173,Medium,dram_dense,data/hcr_train\triplets\00743_ref_64.npy,data/hcr_train\triplets\00743_ref_128.npy,data/hcr_train\triplets\00743_pos_64.npy,data/hcr_train\triplets\00743_pos_128.npy,data/hcr_train\triplets\00743_neg_64.npy,data/hcr_train\triplets\00743_neg_128.npy,0.8233,0.7699,1.12,28.0,116.0,849.5
744,173,Medium,dram_dense,data/hcr_train\triplets\00744_ref_64.npy,data/hcr_train\triplets\00744_ref_128.npy,data/hcr_train\triplets\00744_pos_64.npy,data/hcr_train\triplets\00744_pos_128.npy,data/hcr_train\triplets\00744_neg_64.npy,data/hcr_train\triplets\00744_neg_128.npy,0.8233,0.7455,1.12,86.0,116.0,849.5
745,176,Easy,dram_1x,data/hcr_train\triplets\00745_ref_64.npy,data/hcr_train\triplets\00745_ref_128.npy,data/hcr_train\triplets\00745_pos_64.npy,data/hcr_train\triplets\00745_pos_128.npy,data/hcr_train\triplets\00745_neg_64.npy,data/hcr_train\triplets\00745_neg_128.npy,0.9377,0.7831,0.32,18.3,927.7,546.1
746,176,Easy,dram_1x,data/hcr_train\triplets\00746_ref_64.npy,data/hcr_train\triplets\00746_ref_128.npy,data/hcr_train\triplets\00746_pos_64.npy,data/hcr_train\triplets\00746_pos_128.npy,data/hcr_train\triplets\00746_neg_64.npy,data/hcr_train\triplets\00746_neg_128.npy,0.9377,0.7013,0.32,18.7,927.7,546.1
747,176,Easy,dram_1x,data/hcr_train\triplets\00747_ref_64.npy,data/hcr_train\triplets\00747_ref_128.npy,data/hcr_train\triplets\00747_pos_64.npy,data/hcr_train\triplets\00747_pos_128.npy,data/hcr_train\triplets\00747_neg_64.npy,data/hcr_train\triplets\00747_neg_128.npy,0.9377,0.6956,0.32,605.82,927.7,546.1
748,176,Easy,dram_1x,data/hcr_train\triplets\00748_ref_64.npy,data/hcr_train\triplets\00748_ref_128.npy,data/hcr_train\triplets\00748_pos_64.npy,data/hcr_train\triplets\00748_pos_128.npy,data/hcr_train\triplets\00748_neg_64.npy,data/hcr_train\triplets\00748_neg_128.npy,0.9377,0.6896,0.32,574.86,927.7,546.1
749,176,Easy,dram_1x,data/hcr_train\triplets\00749_ref_64.npy,data/hcr_train\triplets\00749_ref_128.npy,data/hcr_train\triplets\00749_pos_64.npy,data/hcr_train\triplets\00749_pos_128.npy,data/hcr_train\triplets\00749_neg_64.npy,data/hcr_train\triplets\00749_neg_128.npy,0.9377,0.6891,0.32,544.52,927.7,546.1
750,177,Medium,dram_dense,data/hcr_train\triplets\00750_ref_64.npy,data/hcr_train\triplets\00750_ref_128.npy,data/hcr_train\triplets\00750_pos_64.npy,data/hcr_train\triplets\00750_pos_128.npy,data/hcr_train\triplets\00750_neg_64.npy,data/hcr_train\triplets\00750_neg_128.npy,0.9012,0.888,1.3,113.7,53.3,801.1
